Age px qx lx dx Lx Tx ex
20 0.99991 0.00009 100000 9 99995 6028097 60.28
21 0.99990 0.00010 99991 10 99986 5928102 59.29
22 0.99989 0.00011 99981 11 99975 5828116 58.29
23 0.99987 0.00013 99970 13 99963 5728141 57.30
24 0.99986 0.00014 99957 14 99950 5628178 56.31
25 0.99984 0.00016 99943 15 99935 5528228 55.31
26 0.99983 0.00017 99928 17 99919 5428292 54.32
27 0.99981 0.00019 99910 19 99901 5328373 53.33
28 0.99979 0.00021 99891 21 99880 5228473 52.34
29 0.99976 0.00024 99870 24 99858 5128592 51.35
30 0.99974 0.00026 99846 26 99833 5028734 50.36
31 0.99971 0.00029 99820 29 99805 4928901 49.38
32 0.99967 0.00033 99790 33 99774 4829096 48.39
33 0.99964 0.00036 99758 36 99740 4729322 47.41
34 0.99960 0.00040 99721 40 99701 4629583 46.43
35 0.99955 0.00045 99681 45 99659 4529881 45.44
36 0.99950 0.00050 99636 50 99611 4430223 44.46
37 0.99944 0.00056 99586 55 99559 4330611 43.49
38 0.99938 0.00062 99531 62 99500 4231052 42.51
39 0.99931 0.00069 99470 68 99435 4131552 41.54
40 0.99923 0.00077 99401 76 99363 4032117 40.56
41 0.99915 0.00085 99325 85 99282 3932754 39.59
42 0.99905 0.00095 99240 94 99193 3833472 38.63
43 0.99894 0.00106 99146 105 99093 3734279 37.66
44 0.99882 0.00118 99041 117 98982 3635186 36.70
45 0.99869 0.00131 98924 130 98859 3536203 35.75
46 0.99853 0.00147 98794 145 98721 3437345 34.79
47 0.99837 0.00163 98649 161 98568 3338624 33.84
48 0.99818 0.00182 98488 179 98398 3240055 32.90
49 0.99797 0.00203 98308 200 98209 3141657 31.96
50 0.99773 0.00227 98109 222 97998 3043448 31.02
51 0.99747 0.00253 97887 247 97763 2945451 30.09
52 0.99718 0.00282 97639 276 97501 2847688 29.17
53 0.99685 0.00315 97364 307 97210 2750186 28.25
54 0.99647 0.00353 97056 343 96885 2652976 27.33
55 0.99605 0.00395 96714 382 96523 2556091 26.43
56 0.99558 0.00442 96332 426 96119 2459569 25.53
57 0.99504 0.00496 95906 476 95668 2363450 24.64
58 0.99444 0.00556 95430 531 95165 2267782 23.76
59 0.99377 0.00623 94899 592 94604 2172617 22.89
60 0.99301 0.00699 94308 660 93978 2078014 22.03
61 0.99215 0.00785 93648 735 93281 1984036 21.19
62 0.99120 0.00880 92913 817 92505 1890755 20.35
63 0.99015 0.00985 92096 907 91642 1798250 19.53
64 0.98897 0.01103 91189 1006 90686 1706608 18.72
65 0.98767 0.01233 90183 1112 89627 1615922 17.92
66 0.98621 0.01379 89071 1228 88457 1526295 17.14
67 0.98459 0.01541 87843 1354 87166 1437838 16.37
68 0.98277 0.01723 86489 1490 85744 1350673 15.62
69 0.98073 0.01927 84998 1637 84180 1264929 14.88
70 0.97845 0.02155 83361 1796 82463 1180750 14.16
71 0.97588 0.02412 81564 1967 80581 1098287 13.47
72 0.97298 0.02702 79597 2151 78521 1017706 12.79
73 0.96978 0.03022 77446 2340 76276 939185 12.13
74 0.96635 0.03365 75106 2527 73842 862909 11.49
75 0.96266 0.03734 72578 2710 71223 789067 10.87
76 0.95867 0.04133 69868 2887 68425 717843 10.27
77 0.95435 0.04565 66981 3058 65452 649419 9.70
78 0.94962 0.05038 63923 3220 62313 583967 9.14
79 0.94442 0.05558 60703 3374 59016 521654 8.59
80 0.93864 0.06136 57329 3518 55570 462638 8.07
81 0.93218 0.06782 53811 3650 51986 407068 7.56
82 0.92487 0.07513 50161 3769 48277 355082 7.08
83 0.91672 0.08328 46393 3864 44461 306805 6.61
84 0.90779 0.09221 42529 3922 40568 262344 6.17
85 0.89801 0.10199 38607 3938 36639 221775 5.74
86 0.88727 0.11273 34670 3908 32716 185137 5.34
87 0.87546 0.12454 30761 3831 28846 152421 4.95
88 0.86245 0.13755 26930 3704 25078 123576 4.59
89 0.84809 0.15191 23226 3528 21462 98498 4.24
90 0.83220 0.16780 19698 3305 18045 77036 3.91
91 0.81458 0.18542 16392 3039 14873 58991 3.60
92 0.79498 0.20502 13353 2738 11984 44118 3.30
93 0.77334 0.22666 10615 2406 9412 32134 3.03
94 0.74967 0.25033 8209 2055 7182 22722 2.77
95 0.72377 0.27623 6154 1700 5304 15540 2.53
96 0.69540 0.30460 4454 1357 3776 10236 2.30
97 0.66431 0.33569 3097 1040 2578 6460 2.09
98 0.63019 0.36981 2058 761 1677 3883 1.89
99 0.59272 0.40728 1297 528 1033 2205 1.70
100 0.55151 0.44849 769 345 596 1173 1.53
101 0.50611 0.49389 424 209 319 577 1.36
102 0.45567 0.54433 215 117 156 257 1.20
103 0.40008 0.59992 98 59 68 101 1.04
104 0.33882 0.66118 39 26 26 33 0.84
105 0.00000 1.00000 13 13 7 7 0.50
