Age px qx lx dx Lx Tx ex
20 0.99993 0.00007 100000 7 99996 6141931 61.42
21 0.99992 0.00008 99993 8 99989 6041935 60.42
22 0.99991 0.00009 99985 9 99981 5941946 59.43
23 0.99990 0.00010 99976 10 99971 5841965 58.43
24 0.99989 0.00011 99967 11 99961 5741994 57.44
25 0.99988 0.00012 99956 12 99950 5642033 56.45
26 0.99987 0.00013 99944 13 99937 5542083 55.45
27 0.99985 0.00015 99930 15 99923 5442146 54.46
28 0.99983 0.00017 99916 17 99907 5342223 53.47
29 0.99982 0.00018 99899 18 99890 5242315 52.48
30 0.99979 0.00021 99881 21 99870 5142426 51.49
31 0.99977 0.00023 99860 23 99849 5042555 50.50
32 0.99975 0.00025 99837 25 99825 4942707 49.51
33 0.99972 0.00028 99812 28 99798 4842882 48.52
34 0.99968 0.00032 99784 31 99768 4743084 47.53
35 0.99965 0.00035 99752 35 99735 4643316 46.55
36 0.99961 0.00039 99717 39 99698 4543582 45.56
37 0.99957 0.00043 99678 43 99657 4443884 44.58
38 0.99952 0.00048 99635 48 99611 4344227 43.60
39 0.99946 0.00054 99587 54 99560 4244616 42.62
40 0.99940 0.00060 99533 60 99503 4145056 41.65
41 0.99933 0.00067 99473 67 99440 4045553 40.67
42 0.99925 0.00075 99406 74 99369 3946114 39.70
43 0.99917 0.00083 99332 83 99291 3846744 38.73
44 0.99907 0.00093 99249 92 99203 3747454 37.76
45 0.99897 0.00103 99157 102 99106 3648251 36.79
46 0.99885 0.00115 99055 114 98998 3549145 35.83
47 0.99872 0.00128 98941 127 98877 3450147 34.87
48 0.99857 0.00143 98814 141 98743 3351270 33.92
49 0.99840 0.00160 98672 158 98593 3252527 32.96
50 0.99820 0.00180 98514 177 98426 3153934 32.02
51 0.99798 0.00202 98337 199 98238 3055508 31.07
52 0.99772 0.00228 98139 223 98027 2957271 30.13
53 0.99743 0.00257 97915 251 97790 2859244 29.20
54 0.99710 0.00290 97664 283 97522 2761454 28.28
55 0.99673 0.00327 97381 319 97222 2663932 27.36
56 0.99630 0.00370 97062 359 96883 2566710 26.44
57 0.99582 0.00418 96704 404 96502 2469827 25.54
58 0.99528 0.00472 96300 454 96073 2373325 24.65
59 0.99467 0.00533 95846 511 95590 2277252 23.76
60 0.99398 0.00602 95335 574 95048 2181662 22.88
61 0.99321 0.00679 94761 644 94439 2086614 22.02
62 0.99234 0.00766 94117 721 93757 1992175 21.17
63 0.99137 0.00863 93396 806 92993 1898419 20.33
64 0.99029 0.00971 92590 899 92141 1805426 19.50
65 0.98908 0.01092 91691 1001 91191 1713285 18.69
66 0.98773 0.01227 90690 1112 90134 1622094 17.89
67 0.98622 0.01378 89578 1234 88961 1531960 17.10
68 0.98453 0.01547 88344 1367 87660 1443000 16.33
69 0.98263 0.01737 86977 1511 86221 1355339 15.58
70 0.98049 0.01951 85466 1668 84632 1269118 14.85
71 0.97807 0.02193 83798 1838 82879 1184486 14.14
72 0.97535 0.02465 81960 2021 80950 1101607 13.44
73 0.97236 0.02764 79940 2210 78835 1020658 12.77
74 0.96919 0.03081 77730 2395 76532 941823 12.12
75 0.96581 0.03419 75335 2575 74047 865291 11.49
76 0.96220 0.03780 72759 2750 71384 791243 10.87
77 0.95832 0.04168 70009 2918 68550 719859 10.28
78 0.95410 0.04590 67091 3080 65551 651309 9.71
79 0.94947 0.05053 64012 3235 62394 585757 9.15
80 0.94433 0.05567 60777 3384 59085 523363 8.61
81 0.93855 0.06145 57393 3527 55630 464278 8.09
82 0.93198 0.06802 53866 3664 52034 408648 7.59
83 0.92462 0.07538 50202 3784 48310 356614 7.10
84 0.91659 0.08341 46418 3872 44482 308304 6.64
85 0.90781 0.09219 42546 3922 40585 263822 6.20
86 0.89820 0.10180 38624 3932 36658 223237 5.78
87 0.88767 0.11233 34692 3897 32743 186579 5.38
88 0.87611 0.12389 30795 3815 28887 153836 5.00
89 0.86338 0.13662 26980 3686 25137 124949 4.63
90 0.84935 0.15065 23294 3509 21539 99812 4.28
91 0.83384 0.16616 19785 3287 18141 78273 3.96
92 0.81665 0.18335 16497 3025 14985 60132 3.64
93 0.79752 0.20248 13472 2728 12108 45147 3.35
94 0.77647 0.22353 10745 2402 9544 33039 3.07
95 0.75354 0.24646 8343 2056 7315 23495 2.82
96 0.72857 0.27143 6287 1706 5433 16180 2.57
97 0.70132 0.29868 4580 1368 3896 10747 2.35
98 0.67155 0.32845 3212 1055 2685 6851 2.13
99 0.63899 0.36101 2157 779 1768 4166 1.93
100 0.60329 0.39671 1378 547 1105 2398 1.74
101 0.56408 0.43592 832 363 650 1293 1.56
102 0.52090 0.47910 469 225 357 643 1.37
103 0.47290 0.52710 244 129 180 286 1.17
104 0.42008 0.57992 116 67 82 106 0.92
105 0.00000 1.00000 49 49 24 24 0.50
