Age px qx lx dx Lx Tx ex
20 0.99989 0.00011 100000 11 99994 6246023 62.46
21 0.99988 0.00012 99989 12 99983 6146029 61.47
22 0.99987 0.00013 99977 13 99970 6046046 60.47
23 0.99985 0.00015 99963 15 99956 5946076 59.48
24 0.99984 0.00016 99948 16 99940 5846121 58.49
25 0.99982 0.00018 99932 18 99923 5746181 57.50
26 0.99980 0.00020 99914 20 99904 5646257 56.51
27 0.99978 0.00022 99894 22 99884 5546353 55.52
28 0.99976 0.00024 99873 24 99861 5446469 54.53
29 0.99974 0.00026 99849 26 99836 5346608 53.55
30 0.99971 0.00029 99823 29 99809 5246772 52.56
31 0.99968 0.00032 99795 31 99779 5146963 51.58
32 0.99965 0.00035 99763 35 99746 5047184 50.59
33 0.99962 0.00038 99729 38 99710 4947438 49.61
34 0.99958 0.00042 99691 42 99670 4847729 48.63
35 0.99954 0.00046 99649 46 99626 4748059 47.65
36 0.99950 0.00050 99604 50 99579 4648432 46.67
37 0.99945 0.00055 99553 55 99526 4548854 45.69
38 0.99939 0.00061 99498 60 99468 4449328 44.72
39 0.99933 0.00067 99438 66 99405 4349859 43.74
40 0.99926 0.00074 99372 73 99335 4250455 42.77
41 0.99919 0.00081 99299 80 99258 4151119 41.80
42 0.99911 0.00089 99218 88 99174 4051861 40.84
43 0.99902 0.00098 99130 97 99081 3952687 39.87
44 0.99892 0.00108 99033 107 98979 3853606 38.91
45 0.99881 0.00119 98926 117 98867 3754626 37.95
46 0.99869 0.00131 98809 129 98744 3655759 37.00
47 0.99856 0.00144 98679 142 98608 3557015 36.05
48 0.99841 0.00159 98537 156 98459 3458407 35.10
49 0.99825 0.00175 98381 172 98295 3359947 34.15
50 0.99806 0.00194 98209 190 98114 3261653 33.21
51 0.99785 0.00215 98018 210 97913 3163539 32.27
52 0.99762 0.00238 97808 233 97692 3065626 31.34
53 0.99735 0.00265 97575 258 97446 2967934 30.42
54 0.99705 0.00295 97317 287 97173 2870488 29.50
55 0.99671 0.00329 97030 319 96870 2773315 28.58
56 0.99634 0.00366 96711 354 96534 2676445 27.67
57 0.99592 0.00408 96357 393 96160 2579912 26.77
58 0.99545 0.00455 95963 437 95745 2483752 25.88
59 0.99493 0.00507 95526 484 95284 2388007 25.00
60 0.99436 0.00564 95042 536 94774 2292723 24.12
61 0.99372 0.00628 94505 593 94209 2197950 23.26
62 0.99302 0.00698 93912 656 93584 2103741 22.40
63 0.99224 0.00776 93257 724 92895 2010157 21.56
64 0.99136 0.00864 92533 799 92133 1917262 20.72
65 0.99039 0.00961 91734 881 91293 1825129 19.90
66 0.98930 0.01070 90852 972 90366 1733836 19.08
67 0.98808 0.01192 89880 1071 89344 1643470 18.29
68 0.98671 0.01329 88809 1181 88218 1554125 17.50
69 0.98516 0.01484 87628 1301 86978 1465907 16.73
70 0.98341 0.01659 86328 1432 85611 1378929 15.97
71 0.98147 0.01853 84895 1573 84109 1293318 15.23
72 0.97938 0.02062 83322 1718 82463 1209209 14.51
73 0.97710 0.02290 81604 1869 80670 1126746 13.81
74 0.97462 0.02538 79735 2023 78724 1046076 13.12
75 0.97191 0.02809 77712 2183 76620 967352 12.45
76 0.96893 0.03107 75529 2347 74356 890732 11.79
77 0.96563 0.03437 73182 2515 71925 816376 11.16
78 0.96196 0.03804 70667 2688 69323 744452 10.53
79 0.95784 0.04216 67979 2866 66546 675129 9.93
80 0.95319 0.04681 65113 3048 63589 608583 9.35
81 0.94796 0.05204 62065 3230 60450 544994 8.78
82 0.94216 0.05784 58835 3403 57134 484544 8.24
83 0.93571 0.06429 55432 3564 53650 427410 7.71
84 0.92854 0.07146 51868 3706 50015 373760 7.21
85 0.92058 0.07942 48162 3825 46249 323745 6.72
86 0.91174 0.08826 44337 3913 42380 277495 6.26
87 0.90192 0.09808 40424 3965 38442 235115 5.82
88 0.89102 0.10898 36459 3973 34473 196673 5.39
89 0.87892 0.12108 32486 3933 30519 162201 4.99
90 0.86549 0.13451 28553 3841 26632 131682 4.61
91 0.85061 0.14939 24712 3692 22866 105049 4.25
92 0.83415 0.16585 21020 3486 19277 82183 3.91
93 0.81596 0.18404 17534 3227 15921 62906 3.59
94 0.79582 0.20418 14307 2921 12846 46986 3.28
95 0.77355 0.22645 11386 2578 10097 34139 3.00
96 0.74891 0.25109 8808 2212 7702 24042 2.73
97 0.72162 0.27838 6596 1836 5678 16341 2.48
98 0.69141 0.30859 4760 1469 4025 10663 2.24
99 0.65793 0.34207 3291 1126 2728 6637 2.02
100 0.62081 0.37919 2165 821 1755 3909 1.81
101 0.57966 0.42034 1344 565 1062 2154 1.60
102 0.53406 0.46594 779 363 598 1093 1.40
103 0.48327 0.51673 416 215 309 495 1.19
104 0.42694 0.57306 201 115 143 186 0.93
105 0.00000 1.00000 86 86 43 43 0.50
