Age px qx lx dx Lx Tx ex
20 0.99987 0.00013 100000 13 99994 5982746 59.83
21 0.99987 0.00013 99987 13 99981 5882753 58.84
22 0.99986 0.00014 99974 14 99967 5782772 57.84
23 0.99984 0.00016 99960 16 99952 5682805 56.85
24 0.99983 0.00017 99944 17 99936 5582853 55.86
25 0.99981 0.00019 99927 19 99917 5482917 54.87
26 0.99979 0.00021 99908 21 99897 5383000 53.88
27 0.99977 0.00023 99886 23 99875 5283103 52.89
28 0.99974 0.00026 99863 26 99850 5183228 51.90
29 0.99971 0.00029 99837 29 99823 5083378 50.92
30 0.99968 0.00032 99809 32 99793 4983555 49.93
31 0.99965 0.00035 99777 35 99759 4883762 48.95
32 0.99961 0.00039 99742 39 99723 4784003 47.96
33 0.99957 0.00043 99703 43 99682 4684280 46.98
34 0.99952 0.00048 99660 47 99637 4584598 46.00
35 0.99947 0.00053 99613 52 99587 4484962 45.02
36 0.99942 0.00058 99561 58 99532 4385375 44.05
37 0.99936 0.00064 99503 64 99471 4285843 43.07
38 0.99929 0.00071 99439 71 99403 4186372 42.10
39 0.99921 0.00079 99368 78 99329 4086969 41.13
40 0.99913 0.00087 99290 87 99246 3987640 40.16
41 0.99903 0.00097 99203 96 99155 3888393 39.20
42 0.99893 0.00107 99107 106 99054 3789238 38.23
43 0.99881 0.00119 99001 118 98942 3690184 37.27
44 0.99868 0.00132 98883 130 98818 3591242 36.32
45 0.99854 0.00146 98753 144 98681 3492424 35.37
46 0.99838 0.00162 98609 159 98529 3393744 34.42
47 0.99821 0.00179 98449 177 98361 3295215 33.47
48 0.99801 0.00199 98273 195 98175 3196854 32.53
49 0.99779 0.00221 98077 217 97969 3098679 31.59
50 0.99754 0.00246 97860 240 97740 3000710 30.66
51 0.99726 0.00274 97620 267 97486 2902970 29.74
52 0.99695 0.00305 97353 297 97204 2805484 28.82
53 0.99659 0.00341 97056 331 96890 2708279 27.90
54 0.99619 0.00381 96725 369 96540 2611389 27.00
55 0.99574 0.00426 96356 411 96150 2514849 26.10
56 0.99523 0.00477 95945 458 95716 2418699 25.21
57 0.99465 0.00535 95487 510 95232 2322983 24.33
58 0.99401 0.00599 94976 569 94692 2227751 23.46
59 0.99327 0.00673 94407 635 94090 2133059 22.59
60 0.99244 0.00756 93772 709 93418 2038970 21.74
61 0.99150 0.00850 93064 791 92668 1945552 20.91
62 0.99043 0.00957 92273 883 91831 1852883 20.08
63 0.98922 0.01078 91389 985 90897 1761052 19.27
64 0.98789 0.01211 90404 1095 89857 1670156 18.47
65 0.98641 0.01359 89309 1214 88702 1580299 17.69
66 0.98477 0.01523 88095 1341 87425 1491597 16.93
67 0.98296 0.01704 86754 1478 86015 1404173 16.19
68 0.98095 0.01905 85276 1625 84463 1318158 15.46
69 0.97871 0.02129 83651 1781 82760 1233695 14.75
70 0.97621 0.02379 81870 1948 80896 1150935 14.06
71 0.97341 0.02659 79922 2125 78859 1070039 13.39
72 0.97028 0.02972 77797 2312 76641 991180 12.74
73 0.96676 0.03324 75485 2509 74231 914539 12.12
74 0.96298 0.03702 72976 2702 71625 840308 11.51
75 0.95908 0.04092 70274 2876 68836 768683 10.94
76 0.95505 0.04495 67398 3030 65884 699846 10.38
77 0.95087 0.04913 64369 3163 62788 633962 9.85
78 0.94648 0.05352 61206 3276 59568 571175 9.33
79 0.94182 0.05818 57930 3371 56245 511607 8.83
80 0.93678 0.06322 54560 3449 52835 455362 8.35
81 0.93124 0.06876 51110 3515 49353 402527 7.88
82 0.92503 0.07497 47596 3568 45812 353174 7.42
83 0.91795 0.08205 44028 3612 42221 307362 6.98
84 0.91009 0.08991 40415 3634 38598 265141 6.56
85 0.90167 0.09833 36781 3617 34973 226543 6.16
86 0.89265 0.10735 33164 3560 31384 191570 5.78
87 0.88294 0.11706 29604 3465 27871 160185 5.41
88 0.87247 0.12753 26139 3333 24472 132314 5.06
89 0.86113 0.13887 22805 3167 21222 107842 4.73
90 0.84880 0.15120 19638 2969 18154 86620 4.41
91 0.83532 0.16468 16669 2745 15296 68467 4.11
92 0.82052 0.17948 13924 2499 12674 53171 3.82
93 0.80417 0.19583 11425 2237 10306 40496 3.54
94 0.78642 0.21358 9187 1962 8206 30190 3.29
95 0.76747 0.23253 7225 1680 6385 21984 3.04
96 0.74724 0.25276 5545 1402 4844 15599 2.81
97 0.72558 0.27442 4143 1137 3575 10755 2.60
98 0.70234 0.29766 3006 895 2559 7180 2.39
99 0.67734 0.32266 2112 681 1771 4621 2.19
100 0.65037 0.34963 1430 500 1180 2850 1.99
101 0.62116 0.37884 930 352 754 1670 1.80
102 0.58941 0.41059 578 237 459 916 1.58
103 0.55435 0.44565 341 152 265 457 1.34
104 0.51629 0.48371 189 91 143 192 1.02
105 0.00000 1.00000 97 97 49 49 0.50
